soil_id,farm_id,test_date,nitrogen_kg_per_ha,phosphorus_kg_per_ha,potassium_kg_per_ha,ph_value,organic_carbon_pct,soil_type,source
SOIL0018,FARM0018,2025-01-21,386.2,5.0,144.8,6.1,0.52,Sandy loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0019,FARM0019,2023-09-16,253.7,5.0,245.8,6.27,0.75,Clay loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0020,FARM0020,2023-06-20,376.0,33.7,238.2,6.51,0.48,Clay loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0021,FARM0021,2024-06-04,324.8,29.6,165.4,6.98,0.57,Black soil,"Soil Health Card, data.gov.in (synthetic)"
SOIL0022,FARM0022,2024-10-30,209.2,10.0,150.6,7.07,0.3,Loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0023,FARM0023,2024-10-09,219.4,36.2,160.6,7.99,0.56,Red soil,"Soil Health Card, data.gov.in (synthetic)"
SOIL0024,FARM0024,2023-05-02,346.3,22.6,225.5,7.17,0.61,Alluvial,"Soil Health Card, data.gov.in (synthetic)"
SOIL0025,FARM0025,2024-06-22,262.5,10.4,218.6,6.6,0.48,Alluvial,"Soil Health Card, data.gov.in (synthetic)"
SOIL0026,FARM0026,2023-07-25,241.6,35.0,175.3,8.14,0.55,Red soil,"Soil Health Card, data.gov.in (synthetic)"
SOIL0027,FARM0027,2023-09-30,323.8,21.9,208.0,7.15,0.38,Sandy loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0028,FARM0028,2025-04-06,258.7,15.2,242.9,6.81,0.5,Alluvial,"Soil Health Card, data.gov.in (synthetic)"
SOIL0029,FARM0029,2025-05-02,325.1,15.7,146.5,6.45,0.62,Black soil,"Soil Health Card, data.gov.in (synthetic)"
SOIL0030,FARM0030,2024-02-07,304.8,17.3,64.7,7.01,0.52,Black soil,"Soil Health Card, data.gov.in (synthetic)"
SOIL0031,FARM0031,2025-05-13,242.0,32.6,129.1,7.09,0.48,Clay loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0032,FARM0032,2025-06-09,282.7,27.4,136.3,6.48,0.64,Sandy loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0033,FARM0033,2023-04-07,264.2,17.8,183.3,6.41,0.62,Clay loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0034,FARM0034,2025-06-15,322.6,12.3,120.7,7.22,0.91,Clay loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0035,FARM0035,2023-09-01,296.5,7.2,187.8,5.93,0.47,Sandy loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0036,FARM0036,2025-01-20,276.3,19.8,131.0,7.78,0.4,Sandy loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0037,FARM0037,2023-05-26,388.3,30.5,111.6,7.41,0.59,Loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0038,FARM0038,2023-08-25,256.2,12.3,169.8,7.22,0.51,Alluvial,"Soil Health Card, data.gov.in (synthetic)"
SOIL0039,FARM0039,2024-10-30,311.1,31.0,231.6,6.15,0.31,Clay loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0040,FARM0040,2023-02-17,252.5,32.1,193.2,6.85,0.37,Loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0041,FARM0041,2025-06-30,199.7,28.7,208.3,6.56,0.57,Sandy loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0042,FARM0042,2023-10-12,200.9,20.6,205.0,7.43,0.45,Alluvial,"Soil Health Card, data.gov.in (synthetic)"
SOIL0043,FARM0043,2024-11-28,127.7,22.5,164.2,6.49,0.48,Black soil,"Soil Health Card, data.gov.in (synthetic)"
SOIL0044,FARM0044,2024-12-29,217.3,38.9,151.4,6.84,0.38,Black soil,"Soil Health Card, data.gov.in (synthetic)"
SOIL0045,FARM0045,2024-07-02,280.7,24.9,60.0,5.83,0.24,Sandy loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0046,FARM0046,2023-07-16,324.5,17.8,134.6,6.49,0.78,Alluvial,"Soil Health Card, data.gov.in (synthetic)"
SOIL0047,FARM0047,2025-04-14,262.6,10.4,160.6,8.42,0.64,Alluvial,"Soil Health Card, data.gov.in (synthetic)"
SOIL0048,FARM0048,2024-06-30,424.2,18.8,115.8,6.35,0.37,Black soil,"Soil Health Card, data.gov.in (synthetic)"
SOIL0049,FARM0049,2024-08-10,346.3,11.7,186.2,6.44,0.64,Clay loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0050,FARM0050,2025-02-23,259.3,36.5,180.3,7.99,0.4,Sandy loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0051,FARM0051,2024-08-22,362.5,14.1,195.8,6.87,0.57,Black soil,"Soil Health Card, data.gov.in (synthetic)"
SOIL0052,FARM0052,2024-08-21,325.0,18.3,321.4,7.01,0.44,Clay loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0053,FARM0053,2024-02-08,327.3,12.7,205.5,5.86,0.56,Alluvial,"Soil Health Card, data.gov.in (synthetic)"
SOIL0054,FARM0054,2025-04-27,301.9,20.8,184.4,6.98,0.81,Black soil,"Soil Health Card, data.gov.in (synthetic)"
SOIL0055,FARM0055,2025-03-16,248.4,27.4,235.1,6.91,0.66,Clay loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0056,FARM0056,2025-03-16,298.7,15.3,94.7,6.53,0.63,Black soil,"Soil Health Card, data.gov.in (synthetic)"
SOIL0057,FARM0057,2025-01-22,305.7,18.3,78.9,7.3,0.64,Alluvial,"Soil Health Card, data.gov.in (synthetic)"
SOIL0058,FARM0058,2025-02-26,168.9,26.8,193.6,7.8,0.62,Loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0059,FARM0059,2023-04-26,219.5,29.4,85.4,7.3,0.55,Red soil,"Soil Health Card, data.gov.in (synthetic)"
SOIL0060,FARM0060,2024-03-07,212.6,32.4,163.6,7.28,0.45,Loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0061,FARM0061,2023-06-19,281.5,10.4,212.1,6.48,0.53,Red soil,"Soil Health Card, data.gov.in (synthetic)"
SOIL0062,FARM0062,2023-06-20,317.1,20.7,120.8,6.96,0.6,Clay loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0063,FARM0063,2025-01-20,263.9,34.9,147.4,6.75,0.72,Sandy loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0064,FARM0064,2025-02-10,307.3,31.6,216.6,7.1,0.52,Sandy loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0065,FARM0065,2025-03-08,287.5,17.3,215.1,6.67,0.34,Alluvial,"Soil Health Card, data.gov.in (synthetic)"
SOIL0066,FARM0066,2023-12-02,292.9,6.6,119.3,6.76,0.49,Clay loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0067,FARM0067,2023-05-13,361.7,19.8,250.1,7.02,0.51,Clay loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0068,FARM0068,2024-11-13,357.4,25.0,176.0,7.07,0.44,Black soil,"Soil Health Card, data.gov.in (synthetic)"
SOIL0069,FARM0069,2023-10-08,321.3,25.3,222.6,6.98,0.42,Loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0070,FARM0070,2024-07-10,288.6,21.2,201.7,6.4,0.71,Black soil,"Soil Health Card, data.gov.in (synthetic)"
SOIL0071,FARM0071,2025-03-29,279.5,34.5,112.7,6.77,0.54,Loam,"Soil Health Card, data.gov.in (synthetic)"
