trade_id,crop_id,crop_name,country,year,export_qty_tonnes,import_qty_tonnes,trade_value_usd,yoy_demand_change_pct,source
TR00017,CROP001,Rice (Paddy),USA,2022,479864.5,22222.4,196703930.0,-16.7,FAOSTAT / UN Comtrade (synthetic)
TR00018,CROP001,Rice (Paddy),USA,2023,438584.0,20968.5,261637777.0,-8.6,FAOSTAT / UN Comtrade (synthetic)
TR00019,CROP001,Rice (Paddy),USA,2024,413724.1,12074.4,253720534.0,-5.7,FAOSTAT / UN Comtrade (synthetic)
TR00020,CROP001,Rice (Paddy),USA,2025,424730.8,3537.5,193135427.0,2.7,FAOSTAT / UN Comtrade (synthetic)
TR00021,CROP001,Rice (Paddy),Indonesia,2021,638853.1,14490.9,198476591.0,0.6,FAOSTAT / UN Comtrade (synthetic)
TR00022,CROP001,Rice (Paddy),Indonesia,2022,720995.3,29505.0,307511286.0,12.9,FAOSTAT / UN Comtrade (synthetic)
TR00023,CROP001,Rice (Paddy),Indonesia,2023,759023.6,4681.8,340239810.0,5.3,FAOSTAT / UN Comtrade (synthetic)
TR00024,CROP001,Rice (Paddy),Indonesia,2024,703022.7,24681.3,377850312.0,-7.4,FAOSTAT / UN Comtrade (synthetic)
TR00025,CROP001,Rice (Paddy),Indonesia,2025,672561.0,9084.5,291665268.0,-4.3,FAOSTAT / UN Comtrade (synthetic)
TR00026,CROP016,Cotton,USA,2021,566889.5,14515.1,248640438.0,7.1,FAOSTAT / UN Comtrade (synthetic)
TR00027,CROP016,Cotton,USA,2022,549335.9,4102.8,262463151.0,-3.1,FAOSTAT / UN Comtrade (synthetic)
TR00028,CROP016,Cotton,USA,2023,541893.9,11629.5,263396636.0,-1.4,FAOSTAT / UN Comtrade (synthetic)
TR00029,CROP016,Cotton,USA,2024,530191.6,13664.2,293629121.0,-2.2,FAOSTAT / UN Comtrade (synthetic)
TR00030,CROP016,Cotton,USA,2025,558260.0,4346.5,305476812.0,5.3,FAOSTAT / UN Comtrade (synthetic)
TR00031,CROP016,Cotton,Malaysia,2021,421686.2,531.6,217069036.0,-6.7,FAOSTAT / UN Comtrade (synthetic)
TR00032,CROP016,Cotton,Malaysia,2022,421642.4,1824.8,101205982.0,-0.0,FAOSTAT / UN Comtrade (synthetic)
TR00033,CROP016,Cotton,Malaysia,2023,488999.3,3528.1,299656688.0,16.0,FAOSTAT / UN Comtrade (synthetic)
TR00034,CROP016,Cotton,Malaysia,2024,608243.2,10054.1,277392655.0,24.4,FAOSTAT / UN Comtrade (synthetic)
TR00035,CROP016,Cotton,Malaysia,2025,544221.5,9355.8,338297974.0,-10.5,FAOSTAT / UN Comtrade (synthetic)
TR00036,CROP016,Cotton,China,2021,518696.6,6787.5,188638714.0,-9.7,FAOSTAT / UN Comtrade (synthetic)
TR00037,CROP016,Cotton,China,2022,503952.3,14111.3,245489188.0,-2.8,FAOSTAT / UN Comtrade (synthetic)
TR00038,CROP016,Cotton,China,2023,595918.9,3689.2,237697078.0,18.2,FAOSTAT / UN Comtrade (synthetic)
TR00039,CROP016,Cotton,China,2024,656760.9,1068.6,191092991.0,10.2,FAOSTAT / UN Comtrade (synthetic)
TR00040,CROP016,Cotton,China,2025,663302.7,30305.3,271957452.0,1.0,FAOSTAT / UN Comtrade (synthetic)
TR00041,CROP016,Cotton,Nepal,2021,492272.0,321.5,244470042.0,26.2,FAOSTAT / UN Comtrade (synthetic)
TR00042,CROP016,Cotton,Nepal,2022,572981.7,13673.9,159030150.0,16.4,FAOSTAT / UN Comtrade (synthetic)
TR00043,CROP016,Cotton,Nepal,2023,590626.4,12048.9,276780558.0,3.1,FAOSTAT / UN Comtrade (synthetic)
TR00044,CROP016,Cotton,Nepal,2024,618819.7,5317.1,277524537.0,4.8,FAOSTAT / UN Comtrade (synthetic)
TR00045,CROP016,Cotton,Nepal,2025,750123.7,23271.3,429357061.0,21.2,FAOSTAT / UN Comtrade (synthetic)
TR00046,CROP016,Cotton,Vietnam,2021,353330.7,3594.4,178772982.0,-10.5,FAOSTAT / UN Comtrade (synthetic)
TR00047,CROP016,Cotton,Vietnam,2022,426404.1,13459.1,163226528.0,20.7,FAOSTAT / UN Comtrade (synthetic)
TR00048,CROP016,Cotton,Vietnam,2023,410156.8,1994.2,230897522.0,-3.8,FAOSTAT / UN Comtrade (synthetic)
TR00049,CROP016,Cotton,Vietnam,2024,391423.4,14083.1,194027431.0,-4.6,FAOSTAT / UN Comtrade (synthetic)
TR00050,CROP016,Cotton,Vietnam,2025,412335.6,2933.1,167327394.0,5.3,FAOSTAT / UN Comtrade (synthetic)
TR00051,CROP017,Sugarcane,Vietnam,2021,796334.2,10190.8,304083138.0,10.2,FAOSTAT / UN Comtrade (synthetic)
TR00052,CROP017,Sugarcane,Vietnam,2022,839023.6,2397.3,485706020.0,5.4,FAOSTAT / UN Comtrade (synthetic)
TR00053,CROP017,Sugarcane,Vietnam,2023,903979.6,3165.1,232982054.0,7.7,FAOSTAT / UN Comtrade (synthetic)
TR00054,CROP017,Sugarcane,Vietnam,2024,888545.2,4325.7,280703049.0,-1.7,FAOSTAT / UN Comtrade (synthetic)
TR00055,CROP017,Sugarcane,Vietnam,2025,930549.3,2344.3,426116734.0,4.7,FAOSTAT / UN Comtrade (synthetic)
TR00056,CROP017,Sugarcane,Saudi Arabia,2021,1090887.1,38252.4,575377002.0,16.6,FAOSTAT / UN Comtrade (synthetic)
TR00057,CROP017,Sugarcane,Saudi Arabia,2022,973161.7,40751.3,214926064.0,-10.8,FAOSTAT / UN Comtrade (synthetic)
TR00058,CROP017,Sugarcane,Saudi Arabia,2023,1063153.6,29065.6,541475931.0,9.2,FAOSTAT / UN Comtrade (synthetic)
TR00059,CROP017,Sugarcane,Saudi Arabia,2024,1174366.4,19864.0,688290411.0,10.5,FAOSTAT / UN Comtrade (synthetic)
TR00060,CROP017,Sugarcane,Saudi Arabia,2025,1161571.0,44232.1,504465968.0,-1.1,FAOSTAT / UN Comtrade (synthetic)
TR00061,CROP017,Sugarcane,Bangladesh,2021,782426.6,37032.7,341619599.0,2.3,FAOSTAT / UN Comtrade (synthetic)
TR00062,CROP017,Sugarcane,Bangladesh,2022,723141.2,34847.8,217647985.0,-7.6,FAOSTAT / UN Comtrade (synthetic)
TR00063,CROP017,Sugarcane,Bangladesh,2023,777649.6,8591.8,360954870.0,7.5,FAOSTAT / UN Comtrade (synthetic)
TR00064,CROP017,Sugarcane,Bangladesh,2024,839224.4,24167.1,367471508.0,7.9,FAOSTAT / UN Comtrade (synthetic)
TR00065,CROP017,Sugarcane,Bangladesh,2025,976904.8,27116.8,434051403.0,16.4,FAOSTAT / UN Comtrade (synthetic)
TR00066,CROP017,Sugarcane,Nepal,2021,690577.6,13344.8,261754330.0,6.0,FAOSTAT / UN Comtrade (synthetic)
TR00067,CROP017,Sugarcane,Nepal,2022,721713.7,1743.6,359322113.0,4.5,FAOSTAT / UN Comtrade (synthetic)
TR00068,CROP017,Sugarcane,Nepal,2023,698164.6,27568.3,336447144.0,-3.3,FAOSTAT / UN Comtrade (synthetic)
TR00069,CROP017,Sugarcane,Nepal,2024,685028.4,29951.0,279354831.0,-1.9,FAOSTAT / UN Comtrade (synthetic)
TR00070,CROP017,Sugarcane,Nepal,2025,680922.1,29365.0,333087666.0,-0.6,FAOSTAT / UN Comtrade (synthetic)
TR00071,CROP017,Sugarcane,USA,2021,880447.6,2552.4,240561008.0,-0.3,FAOSTAT / UN Comtrade (synthetic)
TR00072,CROP017,Sugarcane,USA,2022,977678.6,22757.2,523142543.0,11.0,FAOSTAT / UN Comtrade (synthetic)
TR00073,CROP017,Sugarcane,USA,2023,1082243.7,31126.2,492185950.0,10.7,FAOSTAT / UN Comtrade (synthetic)
TR00074,CROP017,Sugarcane,USA,2024,1203146.7,47723.4,288981552.0,11.2,FAOSTAT / UN Comtrade (synthetic)
TR00075,CROP017,Sugarcane,USA,2025,1114433.8,10560.2,580681325.0,-7.4,FAOSTAT / UN Comtrade (synthetic)
TR00076,CROP011,Soybean,Indonesia,2021,862875.3,4408.8,249315401.0,15.5,FAOSTAT / UN Comtrade (synthetic)
TR00077,CROP011,Soybean,Indonesia,2022,985290.1,24924.5,612914401.0,14.2,FAOSTAT / UN Comtrade (synthetic)
TR00078,CROP011,Soybean,Indonesia,2023,1054334.6,34839.7,624328477.0,7.0,FAOSTAT / UN Comtrade (synthetic)
TR00079,CROP011,Soybean,Indonesia,2024,1122389.5,39165.9,511954305.0,6.5,FAOSTAT / UN Comtrade (synthetic)
TR00080,CROP011,Soybean,Indonesia,2025,1185534.2,46675.9,431384272.0,5.6,FAOSTAT / UN Comtrade (synthetic)
TR00081,CROP011,Soybean,Bangladesh,2021,501853.6,14327.7,312221937.0,-1.0,FAOSTAT / UN Comtrade (synthetic)
TR00082,CROP011,Soybean,Bangladesh,2022,533043.1,20716.3,260283654.0,6.2,FAOSTAT / UN Comtrade (synthetic)
TR00083,CROP011,Soybean,Bangladesh,2023,418215.9,6131.4,251534770.0,-21.5,FAOSTAT / UN Comtrade (synthetic)
TR00084,CROP011,Soybean,Bangladesh,2024,403912.0,11717.9,144421989.0,-3.4,FAOSTAT / UN Comtrade (synthetic)
TR00085,CROP011,Soybean,Bangladesh,2025,504103.7,13128.5,272852243.0,24.8,FAOSTAT / UN Comtrade (synthetic)
TR00086,CROP011,Soybean,Vietnam,2021,515807.8,3633.5,233610867.0,-1.8,FAOSTAT / UN Comtrade (synthetic)
TR00087,CROP011,Soybean,Vietnam,2022,489691.6,15433.2,308820910.0,-5.1,FAOSTAT / UN Comtrade (synthetic)
TR00088,CROP011,Soybean,Vietnam,2023,519382.8,1646.1,204974389.0,6.1,FAOSTAT / UN Comtrade (synthetic)
TR00089,CROP011,Soybean,Vietnam,2024,488245.1,17857.1,137487396.0,-6.0,FAOSTAT / UN Comtrade (synthetic)
TR00090,CROP011,Soybean,Vietnam,2025,557127.2,13387.0,204774059.0,14.1,FAOSTAT / UN Comtrade (synthetic)
TR00091,CROP011,Soybean,UAE,2021,805256.3,22156.8,460216116.0,-7.6,FAOSTAT / UN Comtrade (synthetic)
TR00092,CROP011,Soybean,UAE,2022,956932.2,17630.6,566567076.0,18.8,FAOSTAT / UN Comtrade (synthetic)
TR00093,CROP011,Soybean,UAE,2023,978173.9,37077.2,482198316.0,2.2,FAOSTAT / UN Comtrade (synthetic)
TR00094,CROP011,Soybean,UAE,2024,969144.4,24913.5,296042640.0,-0.9,FAOSTAT / UN Comtrade (synthetic)
TR00095,CROP011,Soybean,UAE,2025,865428.4,26420.3,346122172.0,-10.7,FAOSTAT / UN Comtrade (synthetic)
TR00096,CROP011,Soybean,USA,2021,777876.0,19939.2,327335501.0,-1.7,FAOSTAT / UN Comtrade (synthetic)
TR00097,CROP011,Soybean,USA,2022,748197.2,13790.7,213703849.0,-3.8,FAOSTAT / UN Comtrade (synthetic)
TR00098,CROP011,Soybean,USA,2023,805575.1,22477.6,270251295.0,7.7,FAOSTAT / UN Comtrade (synthetic)
TR00099,CROP011,Soybean,USA,2024,757857.2,10358.1,393902128.0,-5.9,FAOSTAT / UN Comtrade (synthetic)
TR00100,CROP011,Soybean,USA,2025,970439.0,18045.2,454023432.0,28.1,FAOSTAT / UN Comtrade (synthetic)
TR00101,CROP012,Groundnut,Saudi Arabia,2021,330527.6,979.6,155605595.0,-6.0,FAOSTAT / UN Comtrade (synthetic)
TR00102,CROP012,Groundnut,Saudi Arabia,2022,352979.0,12584.4,105952204.0,6.8,FAOSTAT / UN Comtrade (synthetic)
TR00103,CROP012,Groundnut,Saudi Arabia,2023,402587.6,5696.8,173538482.0,14.1,FAOSTAT / UN Comtrade (synthetic)
TR00104,CROP012,Groundnut,Saudi Arabia,2024,443916.9,18970.7,173688861.0,10.3,FAOSTAT / UN Comtrade (synthetic)
TR00105,CROP012,Groundnut,Saudi Arabia,2025,525706.9,24199.1,290938178.0,18.4,FAOSTAT / UN Comtrade (synthetic)
TR00106,CROP012,Groundnut,Bangladesh,2021,355676.6,15456.4,200103154.0,-10.8,FAOSTAT / UN Comtrade (synthetic)
TR00107,CROP012,Groundnut,Bangladesh,2022,343794.2,9088.3,109915390.0,-3.3,FAOSTAT / UN Comtrade (synthetic)
TR00108,CROP012,Groundnut,Bangladesh,2023,379335.1,3347.8,214165376.0,10.3,FAOSTAT / UN Comtrade (synthetic)
TR00109,CROP012,Groundnut,Bangladesh,2024,389091.6,6818.3,155029628.0,2.6,FAOSTAT / UN Comtrade (synthetic)
TR00110,CROP012,Groundnut,Bangladesh,2025,383570.5,11586.7,194541564.0,-1.4,FAOSTAT / UN Comtrade (synthetic)
TR00111,CROP012,Groundnut,Nepal,2021,408202.2,8809.1,230696860.0,1.0,FAOSTAT / UN Comtrade (synthetic)
TR00112,CROP012,Groundnut,Nepal,2022,501279.4,20731.5,204640223.0,22.8,FAOSTAT / UN Comtrade (synthetic)
TR00113,CROP012,Groundnut,Nepal,2023,599680.7,24073.3,308574380.0,19.6,FAOSTAT / UN Comtrade (synthetic)
TR00114,CROP012,Groundnut,Nepal,2024,760965.5,34765.9,227490712.0,26.9,FAOSTAT / UN Comtrade (synthetic)
TR00115,CROP012,Groundnut,Nepal,2025,790930.6,28675.3,311102859.0,3.9,FAOSTAT / UN Comtrade (synthetic)
TR00116,CROP012,Groundnut,Malaysia,2021,304246.4,623.0,157300445.0,-0.6,FAOSTAT / UN Comtrade (synthetic)
TR00117,CROP012,Groundnut,Malaysia,2022,333784.8,12821.0,136751983.0,9.7,FAOSTAT / UN Comtrade (synthetic)
TR00118,CROP012,Groundnut,Malaysia,2023,377190.2,17105.4,93052314.0,13.0,FAOSTAT / UN Comtrade (synthetic)
TR00119,CROP012,Groundnut,Malaysia,2024,414721.8,9285.6,195710489.0,10.0,FAOSTAT / UN Comtrade (synthetic)
TR00120,CROP012,Groundnut,Malaysia,2025,417521.2,10241.7,127449998.0,0.7,FAOSTAT / UN Comtrade (synthetic)
TR00121,CROP012,Groundnut,USA,2021,313372.1,49.1,116575970.0,-9.6,FAOSTAT / UN Comtrade (synthetic)
TR00122,CROP012,Groundnut,USA,2022,300965.3,4459.9,122397733.0,-4.0,FAOSTAT / UN Comtrade (synthetic)
TR00123,CROP012,Groundnut,USA,2023,332058.1,10390.4,166556913.0,10.3,FAOSTAT / UN Comtrade (synthetic)
TR00124,CROP012,Groundnut,USA,2024,363380.5,13999.1,110122598.0,9.4,FAOSTAT / UN Comtrade (synthetic)
TR00125,CROP012,Groundnut,USA,2025,358566.9,5977.2,146370955.0,-1.3,FAOSTAT / UN Comtrade (synthetic)
TR00126,CROP002,Wheat,Indonesia,2021,270437.1,8107.4,130489341.0,-8.8,FAOSTAT / UN Comtrade (synthetic)
TR00127,CROP002,Wheat,Indonesia,2022,239118.5,8618.1,56839433.0,-11.6,FAOSTAT / UN Comtrade (synthetic)
TR00128,CROP002,Wheat,Indonesia,2023,273668.9,4553.0,168267883.0,14.4,FAOSTAT / UN Comtrade (synthetic)
TR00129,CROP002,Wheat,Indonesia,2024,276221.3,903.6,107944058.0,0.9,FAOSTAT / UN Comtrade (synthetic)
TR00130,CROP002,Wheat,Indonesia,2025,299064.3,792.6,189507649.0,8.3,FAOSTAT / UN Comtrade (synthetic)
TR00131,CROP002,Wheat,Vietnam,2021,272523.6,4583.1,124921602.0,5.5,FAOSTAT / UN Comtrade (synthetic)
TR00132,CROP002,Wheat,Vietnam,2022,224185.8,90.2,124395980.0,-17.7,FAOSTAT / UN Comtrade (synthetic)
TR00133,CROP002,Wheat,Vietnam,2023,228714.4,1786.8,141325135.0,2.0,FAOSTAT / UN Comtrade (synthetic)
TR00134,CROP002,Wheat,Vietnam,2024,213412.6,5419.3,56399862.0,-6.7,FAOSTAT / UN Comtrade (synthetic)
TR00135,CROP002,Wheat,Vietnam,2025,233613.7,9426.3,146965953.0,9.5,FAOSTAT / UN Comtrade (synthetic)
TR00136,CROP002,Wheat,UAE,2021,224228.3,7992.0,85121505.0,11.5,FAOSTAT / UN Comtrade (synthetic)
TR00137,CROP002,Wheat,UAE,2022,225943.4,10034.8,67683454.0,0.8,FAOSTAT / UN Comtrade (synthetic)
TR00138,CROP002,Wheat,UAE,2023,198750.6,7597.0,76126497.0,-12.0,FAOSTAT / UN Comtrade (synthetic)
TR00139,CROP002,Wheat,UAE,2024,193384.7,8305.5,67695893.0,-2.7,FAOSTAT / UN Comtrade (synthetic)
TR00140,CROP002,Wheat,UAE,2025,198024.0,7629.5,111841712.0,2.4,FAOSTAT / UN Comtrade (synthetic)
TR00141,CROP002,Wheat,Malaysia,2021,237875.9,8211.5,123990076.0,1.8,FAOSTAT / UN Comtrade (synthetic)
TR00142,CROP002,Wheat,Malaysia,2022,222292.1,2203.3,138002864.0,-6.6,FAOSTAT / UN Comtrade (synthetic)
TR00143,CROP002,Wheat,Malaysia,2023,222386.3,197.6,108383163.0,0.0,FAOSTAT / UN Comtrade (synthetic)
TR00144,CROP002,Wheat,Malaysia,2024,247861.4,1625.6,118242456.0,11.5,FAOSTAT / UN Comtrade (synthetic)
TR00145,CROP002,Wheat,Malaysia,2025,274337.5,8714.0,81761176.0,10.7,FAOSTAT / UN Comtrade (synthetic)
TR00146,CROP002,Wheat,Nepal,2021,157572.5,3425.9,88003667.0,-15.7,FAOSTAT / UN Comtrade (synthetic)
TR00147,CROP002,Wheat,Nepal,2022,173177.1,1340.4,71296608.0,9.9,FAOSTAT / UN Comtrade (synthetic)
TR00148,CROP002,Wheat,Nepal,2023,192170.9,3660.1,51066371.0,11.0,FAOSTAT / UN Comtrade (synthetic)
TR00149,CROP002,Wheat,Nepal,2024,191747.6,8718.9,58754357.0,-0.2,FAOSTAT / UN Comtrade (synthetic)
TR00150,CROP002,Wheat,Nepal,2025,176214.6,2539.0,109521156.0,-8.1,FAOSTAT / UN Comtrade (synthetic)
TR00151,CROP023,Turmeric,Indonesia,2021,434397.5,9830.9,112326128.0,-1.1,FAOSTAT / UN Comtrade (synthetic)
TR00152,CROP023,Turmeric,Indonesia,2022,551334.5,22948.7,336997974.0,26.9,FAOSTAT / UN Comtrade (synthetic)
TR00153,CROP023,Turmeric,Indonesia,2023,557120.3,21142.9,346702312.0,1.0,FAOSTAT / UN Comtrade (synthetic)
TR00154,CROP023,Turmeric,Indonesia,2024,509226.1,18940.3,181435300.0,-8.6,FAOSTAT / UN Comtrade (synthetic)
TR00155,CROP023,Turmeric,Indonesia,2025,572546.0,27207.3,325506719.0,12.4,FAOSTAT / UN Comtrade (synthetic)
TR00156,CROP023,Turmeric,Nepal,2021,512120.6,6291.2,328557515.0,20.1,FAOSTAT / UN Comtrade (synthetic)
TR00157,CROP023,Turmeric,Nepal,2022,569393.3,3319.8,163446355.0,11.2,FAOSTAT / UN Comtrade (synthetic)
TR00158,CROP023,Turmeric,Nepal,2023,772496.0,37500.0,171153403.0,35.7,FAOSTAT / UN Comtrade (synthetic)
TR00159,CROP023,Turmeric,Nepal,2024,739864.7,19621.5,456295338.0,-4.2,FAOSTAT / UN Comtrade (synthetic)
TR00160,CROP023,Turmeric,Nepal,2025,774462.1,17221.8,230933946.0,4.7,FAOSTAT / UN Comtrade (synthetic)
TR00161,CROP023,Turmeric,Malaysia,2021,267188.2,2881.8,142324408.0,-2.5,FAOSTAT / UN Comtrade (synthetic)
TR00162,CROP023,Turmeric,Malaysia,2022,296943.4,13803.4,72512405.0,11.1,FAOSTAT / UN Comtrade (synthetic)
TR00163,CROP023,Turmeric,Malaysia,2023,279396.0,1321.9,137513578.0,-5.9,FAOSTAT / UN Comtrade (synthetic)
TR00164,CROP023,Turmeric,Malaysia,2024,304715.8,13235.6,148960821.0,9.1,FAOSTAT / UN Comtrade (synthetic)
TR00165,CROP023,Turmeric,Malaysia,2025,330429.6,11037.7,107389762.0,8.4,FAOSTAT / UN Comtrade (synthetic)
TR00166,CROP023,Turmeric,China,2021,469333.0,20173.1,112534016.0,4.3,FAOSTAT / UN Comtrade (synthetic)
TR00167,CROP023,Turmeric,China,2022,409078.5,11438.6,221086806.0,-12.8,FAOSTAT / UN Comtrade (synthetic)
TR00168,CROP023,Turmeric,China,2023,430936.5,5975.8,122674276.0,5.3,FAOSTAT / UN Comtrade (synthetic)
TR00169,CROP023,Turmeric,China,2024,467997.5,14545.1,133803630.0,8.6,FAOSTAT / UN Comtrade (synthetic)
TR00170,CROP023,Turmeric,China,2025,449713.6,19512.8,263043808.0,-3.9,FAOSTAT / UN Comtrade (synthetic)
TR00171,CROP023,Turmeric,UAE,2021,424593.8,16562.2,137581313.0,-3.7,FAOSTAT / UN Comtrade (synthetic)
TR00172,CROP023,Turmeric,UAE,2022,448160.1,4824.6,144895999.0,5.6,FAOSTAT / UN Comtrade (synthetic)
TR00173,CROP023,Turmeric,UAE,2023,496501.2,15152.7,133831639.0,10.8,FAOSTAT / UN Comtrade (synthetic)
TR00174,CROP023,Turmeric,UAE,2024,513738.4,23063.0,167916596.0,3.5,FAOSTAT / UN Comtrade (synthetic)
TR00175,CROP023,Turmeric,UAE,2025,551571.3,19681.4,187058917.0,7.4,FAOSTAT / UN Comtrade (synthetic)
TR00176,CROP024,Banana,Indonesia,2021,202444.0,1312.8,58205441.0,2.1,FAOSTAT / UN Comtrade (synthetic)
TR00177,CROP024,Banana,Indonesia,2022,216874.2,5667.0,96017694.0,7.1,FAOSTAT / UN Comtrade (synthetic)
TR00178,CROP024,Banana,Indonesia,2023,223353.5,10487.9,109485177.0,3.0,FAOSTAT / UN Comtrade (synthetic)
TR00179,CROP024,Banana,Indonesia,2024,243729.4,2149.2,111504289.0,9.1,FAOSTAT / UN Comtrade (synthetic)
TR00180,CROP024,Banana,Indonesia,2025,224790.7,1766.0,68732324.0,-7.8,FAOSTAT / UN Comtrade (synthetic)
TR00181,CROP024,Banana,China,2021,184414.4,7738.1,102941839.0,12.8,FAOSTAT / UN Comtrade (synthetic)
TR00182,CROP024,Banana,China,2022,172139.2,2710.4,94211684.0,-6.7,FAOSTAT / UN Comtrade (synthetic)
TR00183,CROP024,Banana,China,2023,176772.1,2812.7,39029321.0,2.7,FAOSTAT / UN Comtrade (synthetic)
TR00184,CROP024,Banana,China,2024,173206.3,7560.9,47557663.0,-2.0,FAOSTAT / UN Comtrade (synthetic)
TR00185,CROP024,Banana,China,2025,179436.1,5275.6,40385567.0,3.6,FAOSTAT / UN Comtrade (synthetic)
TR00186,CROP024,Banana,Bangladesh,2021,201128.9,5220.0,78053216.0,-8.7,FAOSTAT / UN Comtrade (synthetic)
TR00187,CROP024,Banana,Bangladesh,2022,255854.5,11653.4,96536798.0,27.2,FAOSTAT / UN Comtrade (synthetic)
TR00188,CROP024,Banana,Bangladesh,2023,271090.1,3453.5,135663952.0,6.0,FAOSTAT / UN Comtrade (synthetic)
TR00189,CROP024,Banana,Bangladesh,2024,256289.3,258.3,116619095.0,-5.5,FAOSTAT / UN Comtrade (synthetic)
TR00190,CROP024,Banana,Bangladesh,2025,327671.5,6846.4,73858229.0,27.9,FAOSTAT / UN Comtrade (synthetic)
TR00191,CROP024,Banana,Saudi Arabia,2021,221945.1,9498.8,137687150.0,-2.3,FAOSTAT / UN Comtrade (synthetic)
TR00192,CROP024,Banana,Saudi Arabia,2022,223167.0,1961.7,56594701.0,0.6,FAOSTAT / UN Comtrade (synthetic)
TR00193,CROP024,Banana,Saudi Arabia,2023,194176.1,6096.3,94179656.0,-13.0,FAOSTAT / UN Comtrade (synthetic)
TR00194,CROP024,Banana,Saudi Arabia,2024,199032.8,7448.3,120870910.0,2.5,FAOSTAT / UN Comtrade (synthetic)
TR00195,CROP024,Banana,Saudi Arabia,2025,213266.0,8150.4,104533678.0,7.2,FAOSTAT / UN Comtrade (synthetic)
TR00196,CROP024,Banana,Nepal,2021,150406.6,2912.2,73990048.0,-6.4,FAOSTAT / UN Comtrade (synthetic)
TR00197,CROP024,Banana,Nepal,2022,175916.7,5596.2,64009914.0,17.0,FAOSTAT / UN Comtrade (synthetic)
TR00198,CROP024,Banana,Nepal,2023,191852.9,8468.7,56667044.0,9.1,FAOSTAT / UN Comtrade (synthetic)
TR00199,CROP024,Banana,Nepal,2024,202921.2,8681.2,50323554.0,5.8,FAOSTAT / UN Comtrade (synthetic)
TR00200,CROP024,Banana,Nepal,2025,192766.7,2655.4,73355097.0,-5.0,FAOSTAT / UN Comtrade (synthetic)
