plan_id,farm_id,farmer_id,plan_date,crop_allocation_json,expected_revenue_inr,expected_cost_inr,expected_profit_inr,expected_roi_pct,status
PLAN0011,FARM0020,FARM_USR0018,2026-08-29,"[{""section_id"": ""SEC00030"", ""crop_id"": ""CROP003"", ""crop_name"": ""Maize"", ""area_hectares"": 0.98, ""expected_cost_inr"": 24500.0, ""expected_revenue_inr"": 69525.0}]",69525.0,24500.0,45025.0,183.8,Draft - Pending Farmer Confirmation
PLAN0012,FARM0010,FARM_USR0008,2026-08-29,"[{""section_id"": ""SEC00015"", ""crop_id"": ""CROP021"", ""crop_name"": ""Tomato"", ""area_hectares"": 0.89, ""expected_cost_inr"": 51620.0, ""expected_revenue_inr"": 394715.0}]",394715.0,51620.0,343095.0,664.7,Draft - Pending Farmer Confirmation
PLAN0013,FARM0006,FARM_USR0005,2026-08-29,"[{""section_id"": ""SEC00006"", ""crop_id"": ""CROP014"", ""crop_name"": ""Sunflower"", ""area_hectares"": 3.69, ""expected_cost_inr"": 76014.0, ""expected_revenue_inr"": 75099.0}]",75099.0,76014.0,-915.0,-1.2,Draft - Pending Farmer Confirmation
PLAN0014,FARM0035,FARM_USR0031,2026-08-29,"[{""section_id"": ""SEC00058"", ""crop_id"": ""CROP008"", ""crop_name"": ""Pigeon Pea (Tur)"", ""area_hectares"": 0.53, ""expected_cost_inr"": 9699.0, ""expected_revenue_inr"": 9049.0}, {""section_id"": ""SEC00059"", ""crop_id"": ""CROP025"", ""crop_name"": ""Mango"", ""area_hectares"": 0.24, ""expected_cost_inr"": 7440.0, ""expected_revenue_inr"": 4952.0}, {""section_id"": ""SEC00060"", ""crop_id"": ""CROP023"", ""crop_name"": ""Turmeric"", ""area_hectares"": 0.34, ""expected_cost_inr"": 34000.0, ""expected_revenue_inr"": 77998.0}]",91999.0,51139.0,40860.0,79.9,Draft - Pending Farmer Confirmation
PLAN0015,FARM0052,FARM_USR0045,2026-08-29,"[{""section_id"": ""SEC00084"", ""crop_id"": ""CROP002"", ""crop_name"": ""Wheat"", ""area_hectares"": 0.28, ""expected_cost_inr"": 8036.0, ""expected_revenue_inr"": 25724.0}, {""section_id"": ""SEC00085"", ""crop_id"": ""CROP016"", ""crop_name"": ""Cotton"", ""area_hectares"": 0.52, ""expected_cost_inr"": 23660.0, ""expected_revenue_inr"": 9415.0}]",35139.0,31696.0,3443.0,10.9,Draft - Pending Farmer Confirmation
PLAN0016,FARM0045,FARM_USR0040,2026-08-29,"[{""section_id"": ""SEC00075"", ""crop_id"": ""CROP006"", ""crop_name"": ""Barley"", ""area_hectares"": 1.27, ""expected_cost_inr"": 26416.0, ""expected_revenue_inr"": 60168.0}]",60168.0,26416.0,33752.0,127.8,Draft - Pending Farmer Confirmation
PLAN0017,FARM0041,FARM_USR0037,2026-08-29,"[{""section_id"": ""SEC00068"", ""crop_id"": ""CROP007"", ""crop_name"": ""Chickpea (Gram)"", ""area_hectares"": 4.96, ""expected_cost_inr"": 94240.0, ""expected_revenue_inr"": 230580.0}]",230580.0,94240.0,136340.0,144.7,Draft - Pending Farmer Confirmation
PLAN0018,FARM0003,FARM_USR0003,2026-08-29,"[{""section_id"": ""SEC00003"", ""crop_id"": ""CROP013"", ""crop_name"": ""Mustard"", ""area_hectares"": 0.59, ""expected_cost_inr"": 10148.0, ""expected_revenue_inr"": 19107.0}]",19107.0,10148.0,8959.0,88.3,Draft - Pending Farmer Confirmation
PLAN0019,FARM0039,FARM_USR0035,2026-08-29,"[{""section_id"": ""SEC00065"", ""crop_id"": ""CROP019"", ""crop_name"": ""Potato"", ""area_hectares"": 0.45, ""expected_cost_inr"": 29700.0, ""expected_revenue_inr"": 163251.0}]",163251.0,29700.0,133551.0,449.7,Draft - Pending Farmer Confirmation
PLAN0020,FARM0026,FARM_USR0024,2026-08-29,"[{""section_id"": ""SEC00041"", ""crop_id"": ""CROP020"", ""crop_name"": ""Onion"", ""area_hectares"": 0.88, ""expected_cost_inr"": 45760.0, ""expected_revenue_inr"": 563904.0}, {""section_id"": ""SEC00042"", ""crop_id"": ""CROP013"", ""crop_name"": ""Mustard"", ""area_hectares"": 0.22, ""expected_cost_inr"": 3784.0, ""expected_revenue_inr"": 7125.0}, {""section_id"": ""SEC00043"", ""crop_id"": ""CROP021"", ""crop_name"": ""Tomato"", ""area_hectares"": 0.38, ""expected_cost_inr"": 22040.0, ""expected_revenue_inr"": 168530.0}]",739559.0,71584.0,667975.0,933.1,Draft - Pending Farmer Confirmation
PLAN0021,FARM0062,FARM_USR0052,2026-08-29,"[{""section_id"": ""SEC00097"", ""crop_id"": ""CROP002"", ""crop_name"": ""Wheat"", ""area_hectares"": 1.09, ""expected_cost_inr"": 31283.0, ""expected_revenue_inr"": 100140.0}]",100140.0,31283.0,68857.0,220.1,Draft - Pending Farmer Confirmation
PLAN0022,FARM0042,FARM_USR0038,2026-08-29,"[{""section_id"": ""SEC00069"", ""crop_id"": ""CROP025"", ""crop_name"": ""Mango"", ""area_hectares"": 0.15, ""expected_cost_inr"": 4650.0, ""expected_revenue_inr"": 3095.0}, {""section_id"": ""SEC00070"", ""crop_id"": ""CROP011"", ""crop_name"": ""Soybean"", ""area_hectares"": 0.32, ""expected_cost_inr"": 6240.0, ""expected_revenue_inr"": 22603.0}]",25698.0,10890.0,14808.0,136.0,Draft - Pending Farmer Confirmation
PLAN0023,FARM0048,FARM_USR0043,2026-08-29,"[{""section_id"": ""SEC00080"", ""crop_id"": ""CROP003"", ""crop_name"": ""Maize"", ""area_hectares"": 2.15, ""expected_cost_inr"": 53750.0, ""expected_revenue_inr"": 152530.0}]",152530.0,53750.0,98780.0,183.8,Draft - Pending Farmer Confirmation
PLAN0024,FARM0040,FARM_USR0036,2026-08-29,"[{""section_id"": ""SEC00066"", ""crop_id"": ""CROP012"", ""crop_name"": ""Groundnut"", ""area_hectares"": 1.25, ""expected_cost_inr"": 29375.0, ""expected_revenue_inr"": 96211.0}, {""section_id"": ""SEC00067"", ""crop_id"": ""CROP020"", ""crop_name"": ""Onion"", ""area_hectares"": 1.05, ""expected_cost_inr"": 54600.0, ""expected_revenue_inr"": 672840.0}]",769051.0,83975.0,685076.0,815.8,Draft - Pending Farmer Confirmation
PLAN0025,FARM0050,FARM_USR0044,2026-08-29,"[{""section_id"": ""SEC00082"", ""crop_id"": ""CROP012"", ""crop_name"": ""Groundnut"", ""area_hectares"": 0.37, ""expected_cost_inr"": 8695.0, ""expected_revenue_inr"": 28479.0}]",28479.0,8695.0,19784.0,227.5,Draft - Pending Farmer Confirmation
