msp_id,crop_id,crop_name,season,year,msp_price_per_unit_inr,unit,announced_date,source
MSP0055,CROP014,Sunflower,Rabi,2025,5541.0,Quintal,2025-10-08,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0056,CROP014,Sunflower,Rabi,2026,5837.0,Quintal,2026-10-23,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0057,CROP015,Sesame,Kharif,2023,5417.0,Quintal,2023-06-05,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0058,CROP015,Sesame,Kharif,2024,5742.0,Quintal,2024-06-15,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0059,CROP015,Sesame,Kharif,2025,6067.0,Quintal,2025-06-04,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0060,CROP015,Sesame,Kharif,2026,6392.0,Quintal,2026-06-03,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0061,CROP016,Cotton,Kharif,2023,2416.0,Quintal,2023-06-21,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0062,CROP016,Cotton,Kharif,2024,2561.0,Quintal,2024-06-05,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0063,CROP016,Cotton,Kharif,2025,2706.0,Quintal,2025-06-28,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0064,CROP016,Cotton,Kharif,2026,2851.0,Quintal,2026-06-22,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0065,CROP017,Sugarcane,Perennial,2023,6065.0,Tonne,2023-10-26,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0066,CROP017,Sugarcane,Perennial,2024,6429.0,Tonne,2024-10-09,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0067,CROP017,Sugarcane,Perennial,2025,6793.0,Tonne,2025-10-13,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0068,CROP017,Sugarcane,Perennial,2026,7157.0,Tonne,2026-10-26,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
